Abb. Wylie བསྐུང་ཡིག་,Abb. Unicode བསྐུང་ཡིག་,Expan. Wylie མ་ཕྱི་,Expan. Unicode མ་ཕྱི་
2+e,༢ེ,gnyis te,གཉིས་ཏེ
3+o,༣ོ,gsum po,གསུམ་པོ
4n,༤ན,bzhin,བཞིན
ku+en,ཀེུན,kun mkhyen,ཀུན་མཁྱེན
ku+ob,ཀོུབ,kun rdzob,ཀུན་རྫོབ
k^u+ob,ཀོུ༹བ,kun rdzob,ཀུན་རྫོབ
khyadr,ཁྱདར,khyad par,ཁྱད་པར
khyar,ཁྱར,khyad par,ཁྱད་པར
khro+o,ཁྲོོ,khro bo,ཁྲོ་བོ
khig,ཁིག,kha cig,ཁ་ཅིག
gangg,གངག,gang zag,གང་ཟག
gnyeno,གཉེནོ,gnyen po,གཉེན་པོ
gdaMg,གདཾག,gdam ngag,གདམ་ངག
gtso+o,གཙོོ,gtso bo,གཙོ་བོ
gzhi+es,གཞིེས,gzhi shes,གཞི་ཤེས
gzhon,གཞོན,gzhan don,གཞན་དོན
gru+ig,གྲིུག,gri gug,གྲི་གུག
gshine,གཤིནེ,gshin rje,གཤིན་རྗེ
gshi+en,གཤིེན,gshin rje,གཤིན་རྗེ
gsngaD,གསྔཌ,gsang sngags,གསང་སྔགས
ngodi,ངོདི,ngo bo nyid,ངོ་བོ་ཉིད
ngo+o,ངོོ,ngo bo,ངོ་བོ
cheno,ཆེནོ,bsod nams,ཆེན་པོ
chon,ཆོན,chos can,ཆོས་ཅན
j+tir,ཇྟིར,ji ltar,ཇི་ལྟར
nyi+u,ཉིུ,nyi shu,ཉི་ཤུ
nyos,ཉོས,nyan thos,ཉན་ཐོས
nyo+ongs,ཉོོངས,nyong mongs,ཉོང་མོངས
Na,ཎ,med,མེད
ting^ani,ཏིང༹ནི,ting 'dzin,ཏིང་འཛིན
tingeni,ཏིངེནི,ting nge 'dzin,ཏིང་ངེ་འཛིན
tingen^i,ཏིངེནི༹,ting nge 'dzin,ཏིང་ངེ་འཛིན
ting^eni,ཏིངེ༹ནི,ting nge 'dzin,ཏིང་ངེ་འཛིན
thaMd,ཐཾད,thams cad,ཐམས་ཅད
th+yo+ed,ཐྱོེད,thogs med,ཐོགས་མེད
thige,ཐིགེ,thig le,ཐིག་ལེ
thu+ong,ཐོུང,thun mong,ཐུན་མོང
thu+oMng,ཐོུཾང,thun mong,ཐུན་མོང
tho+eM,ཐོེཾ,the tshom,ཐེ་ཚོམ
dkyo+ir,དཀྱོིར,dkyil 'khor,དཀྱིལ་འཁོར
dko+og,དཀོོག,dkon chog,དཀོན་ཆོག
daMg^i,དཾགི༹,dam tshig,དམ་ཚིག
dge+un,དགེུན,dge 'dun,དགེ་འདུན
dngo,དངོ,dang po,དང་པོ
dngro+ub,དངོོས,dngos grub,དངོས་གྲུབ
dngo+os,དངཽས,dngos po,དངོས་པོ
dbyug,དབྱུག,dbang phyug,དབང་ཕྱུག
dbyered,དབྱེརེད,dbyer med,དབྱེར་མེད
dbong,དབོང,dbang po,དབང་པོ
deni,དེནི,de bzhin,དེ་བཞིན
deniDe,དེནིཌེ,de bzhin gshegs,དེ་བཞིན་གཤེགས
deni+eD,དེནིེཌ,de bzhin gshegs,དེ་བཞིན་གཤེགས
doMn,དོཾན,don dam,དོན་དམ
phyargya,ཕྱརྒྱ,phyag rgya,ཕྱག་རྒྱ
phy^al,ཕྱ༹ལ,phyag 'tshal,ཕྱག་འཚལ
phris,ཕྲིས,phrin las,ཕྲིན་ལས
ph^un,ཕུ༹ན,phan tshun,ཕན་ཚུན
phol,ཕོལ,pha rol,ཕ་རོལ
bc+doMn,བཅྡོཾན,bcom ldan,བཅོམ་ལྡན
bcu+ig,བཅིུག,bcu gcig,བཅུ་གཅིག
bcu+is,བཅིུས,bcu gnyis,བཅུ་གཉིས
bdid,བདིད,bdag nyid,བདག་ཉིད
bd^udi,བདུ༹དི,bdud rtsi,བདུད་རྩི
byub,བྱུབ,byang chub,བྱང་ཆུབ
byeg,བྱེག,bye brag,བྱེ་བྲག
by+u+edM,བྱེུདཾ,byang chub sems dpa',བྱང་ཆུབ་སེམས་དཔའ
bard,བརད,bar chad,བར་ཆད
br+ts+ru+os,བརྩྲོུས,brtson 'grus,བརྩོན་འགྲུས
brye,བྲྱེ,bye brag,བྱེ་བྲག
bshadr,བཤདར,bshad par,བཤད་པར
bstos,བསྟོས,bstan bcos,བསྟན་བཅོས
bsdul,བསྡུལ,sdug bsngal,སྡུག་བསྔལ
bsodMs,བསོདཾས,bsod nams,བསོད་ནམས
mkhro,མཁྲོ,mkha' 'gro,མཁའ་འགྲོ
mgo+o,མགོོ,mgo bo,མགོ་བོ
mngonr,མངོནར,mngon par,མངོན་པར
mnyaMr,མཉཾར,mnyam par,མཉམ་པར
mthag,མཐག,mtha' dag,མཐའ་དག
mthrug,མཐྲུག,mthar thug,མཐར་ཐུག
mtshadi,མཚདི,mtshan nyid,མཚན་ཉིད
mtshyid,མཚྱིད,mtshan nyid,མཚན་ཉིད
mtshid,མཚིད,mtshan nyid,མཚན་ཉིད
mtshon+yi,མཚོནྱི,mtshon bya'i,མཚོན་བྱའི
tshyid,ཚྱིད,mtshan nyid,མཚན་ཉིད
tshid,ཚིད,mtshan nyid,མཚན་ཉིད
tshed,ཚེད,tshad med,ཚད་མེད
zhesdang,ཞེསྡང,zhes dang,ཞེས་དང་
'khoro,འཁོརོ,'khor lo,འཁོར་ལོ
'jiDed,འཇིཌེད,'jigs byed,འཇིགས་བྱེད
'ji+en,འཇིེན,'jig rten,འཇིག་རྟེན
'doD,འདོཌ,'dod chags,འདོད་ཆགས
'phris,འཕྲིས,'phrin las,འཕྲིན་ལས
'brus,འབྲུས,'bras bu,འབྲས་བུ
'big,འབིག,'ba' zhig,འབའ་ཞིག
'oder,འོདེར,'od zer,འོད་ཟེར
y+ton,ཡྟོན,yon tan,ཡོན་ཏན
y+nag,ཡྣག,yan lag,ཡན་ལག
y+lag,ཡླག,yan lag,ཡན་ལག
yun,ཡུན,yul can,ཡུལ་ཅན
ye+es,ཡཻས,ye shes,ཡེ་ཤེས
rgy^un,རྒྱུ༹ན,rgyu mtshan,རྒྱུ་མཚན
rgyu+en,རྒྱེུན,rgyu rkyen,རྒྱུ་རྐྱེན
rangid,རངིད,rang nyid,རང་ཉིད
rangin,རངིན,rang bzhin,རང་བཞིན
rdo+e,རྡོེ,rdo rje,རྡོ་རྗེ
rnaMr,རྣཾར,rnam par,རྣམ་པར
rnor,རྣོར,rnal 'byor,རྣལ་འབྱོར
rtso+e,རྩོེ,rtse mo,རྩེ་མོ
rin,རིན,rang bzhin,རང་བཞིན
rine,རིནེ,rin chen,རིན་ཆེན
ri+en,རིེན,rin chen,རིན་ཆེན
ltu,ལྟུ,lta bu,ལྟ་བུ
lyo+od,ལྱོོད,longs spyod,ལོངས་སྤྱོད
laswo,ལསྭོ,la sogs,ལ་སོགས
laMse,ལཾསེ,lam shes,ལམ་ཤེས
laso,ལསོ,la sogs,ལ་སོགས
shreb,ཤྲེབ,shes rab,ཤེས་རབ
sheb,ཤེབ,shes rab,ཤེས་རབ
skagis,སྐགིས,skad cig gis,སྐད་ཅིག་གིས
skye+ed,སྐྱེེད,skyed mched,སྐྱེེད
skig,སྐིག,skad cig,སྐད་ཅིག
sku+og,སྐོུག,sku mdog,སྐུ་མདོག
snyinge,སྙིངེ,snying rje,སྙིང་རྗེ
sdul,སྡུལ,sdug bsngal,སྡུག་བསྔལ
snang^ad,སྣང༹ད,snang mdzad,སྣང་མཛད
snaMrang^ad,སྣཾརང༹ད,rnam par snang mdzad,རྣམ་པར་སྣང་མཛད
snogs,སྣོགས,sna tshogs,སྣ་ཚོགས
sn^oDa,སྣོ༹ཌ,sna tshogs,སྣ་ཚོགས
spyangs,སྤྱངས,spyan drangs,སྤྱན་དྲངས
sargyas,སརྒྱས,sangs rgyas,སངས་རྒྱས
slon,སློན,slob dpon,སློབ་དཔོན
